true_lables,pred_probs,Model1_probs,Model2_probs
1,0.9999,0.864722408,0.899996231
1,0.9999,0.999914258,0.999851494
1,0.728056711,0.96632941,0.941321552
1,0.728961138,0.999980902,0.99997495
0,0.089358548,0.019890814,0.01005221
1,0.812178209,0.998274447,0.99890601
1,0.825338024,0.999980902,0.999948537
1,0.517859321,0.587412558,0.951786577
1,0.930691207,0.065969193,0.253724433
0,0.569249837,0.240759302,0.739066734
1,0.815079015,0.999615154,0.999747042
1,0.9999,0.065969193,0.081475659
1,0.9999,0.999980902,0.999990867
1,0.808747894,0.587412558,0.901796919
1,0.516036606,0.065969193,0.081475659
1,0.9999,0.240759302,0.136527676
0,0.045880338,0.065969193,0.138922841
1,0.799810134,0.065969193,0.072811085
1,0.9999,0.587412558,0.685098856
0,0.011650354,0.864722408,0.963638939
0,0.038521404,1.73099E-05,7.95835E-06
0,0.318200172,0.065969193,0.036815969
0,0.106299581,0.000138328,5.05727E-05
0,0.078376271,3.39072E-08,1.05302E-08
0,0.11084,2.70995E-07,6.69191E-08
0,0.166474691,0.065969193,0.025974438
0,0.21389027,0.065969193,0.154146804
0,0.130862637,0.000138328,5.05727E-05
0,0.123374294,2.16586E-06,8.73702E-07
0,0.498612529,0.065969193,0.025974438
0,0.522321877,0.065969193,0.036815969
0,0.24728229,0.065969193,0.072811085
0,0.038803212,0.065969193,0.036815969
0,0.092880953,0.000138328,7.24867E-05
0,0.017538283,0.065969193,0.025974438
0,0.159476459,0.001104487,0.001530022
0,0.171072627,2.16586E-06,1.41456E-06
0,0.684684489,0.065969193,0.025974438
0,0.079339605,1.73099E-05,5.5523E-06
0,0.639988912,0.065969193,0.322079872
0,0.141931566,0.001104487,0.0003213
0,0.29112748,0.065969193,0.101171306
0,0.207530253,0.065969193,0.036815969
0,0.087091306,0.065969193,0.036815969
0,0.178157578,0.065969193,0.025974438
0,0.210063659,0.004939846,0.00190204
0,0.090088669,0.008759698,0.002919062
0,0.176332196,0.065969193,0.036815969
0,0.165098221,0.019890814,0.032672633
0,0.062711925,2.70995E-07,4.66873E-08
0,0.074403994,0.065969193,0.047392886
0,0.279385667,0.001104487,0.0003213
1,0.710783587,0.065969193,0.154146804
1,0.574270938,0.065969193,0.112800186
0,0.24327604,0.587412558,0.39542701
1,0.570460308,0.065969193,0.272412518
1,0.721093969,0.240759302,0.184760332
1,0.723136242,0.240759302,0.24519404
0,0.33560018,0.065969193,0.101171306
1,0.235449504,0.240759302,0.136527676
1,0.297989556,0.999615154,0.999456362
0,0.240912921,2.70995E-07,1.37484E-07
0,0.560912198,0.001104487,0.0003213
0,0.230867573,0.587412558,0.313336207
0,0.505140936,0.065969193,0.030938739
0,0.00315737,0.065969193,0.025974438
0,0.024179427,0.065969193,0.030938739
0,0.082106074,0.008759698,0.004178741
0,0.067480869,0.065969193,0.036815969
0,0.267182385,0.065969193,0.18781761
0,0.114688046,0.065969193,0.160149992
0,0.040285907,0.240759302,0.184760332
0,0.014326299,0.240759302,0.184760332
0,0.048135668,0.008759698,0.002919062
0,0.19413637,0.065969193,0.227830261
0,0.158347769,0.065969193,0.036815969
0,0.0978994,0.998274447,0.99257128
0,0.205317135,0.240759302,0.203818446
0,0.0249744,2.70995E-07,6.69191E-08
0,0.216770258,0.065969193,0.025974438
0,0.038335261,0.021802889,0.011172836
0,0.104147553,0.240759302,0.099351916
0,0.161161959,0.065969193,0.036815969
0,0.089511647,0.065969193,0.036815969
0,0.104915686,0.240759302,0.136527676
0,0.092582366,0.065969193,0.025974438
0,0.055403151,0.065969193,0.066563375
0,0.059138426,0.587412558,0.39542701
0,0.15464694,0.240759302,0.136527676
0,0.10965023,0.065969193,0.036815969
0,0.194457782,0.130173979,0.072133208
0,0.180078674,0.065969193,0.05194136
0,0.25805429,0.240759302,0.317691965
