"Feature","OR","CI_Lower","CI_Upper","P_Value"
"Stromal reaction",3.37858280253742,2.63603583137108,4.33662565629841,8.65644424613277e-22
"Eosinophilic macronucleoli",6.848733091988,4.95336989561034,9.5785342134981,2.20348920890691e-30
"Hyaline degeneration",3.83993641476125,2.85357637509976,5.18822285260833,1.02542764177533e-18
"Fibrovascular cores",1.50787589498638,1.11176738679399,2.03585466673134,0.00770936317029357
"Cytoplasmic vacuolization",52.7162457811315,19.4411803179292,216.539424107478,2.39365378524204e-11
"Hobnail cells",6.04191895666332,3.57084816715373,10.6343226398163,8.08829357222866e-11
"Bizarre nuclei",20.8731497512893,7.32981576997958,87.7043208620403,6.59784776647479e-07
"Sarcomatoid differentiation",13032086.7192189,6.04433334451238e-05,NA,0.96640416058622
"Myxoid change",5.02240325864749,1.62718833360764,18.6086257433083,0.00747722019965892
"Foamy macrophages",0.258911820438334,0.113830002838454,0.512285936941669,0.000358820940734089
"Clear cytoplasm",0.0519038178177865,0.00851716910845454,0.16545716404556,3.79128484979953e-05
